JAHR;BFS;GEMEINDE;EINWOHNER
2010;21;Adlikon;577
2010;131;Adliswil;16488
2010;241;Aesch;1034
2010;1;Aeugst a.A.;1822
2010;2;Affoltern a.A.;11063
2010;211;Altikon;601
2010;30;Andelfingen;1860
2010;51;Bachenbülach;3869
2010;81;Bachs;573
2010;52;Bassersdorf;11052
2010;171;Bauma;4160
2010;22;Benken;799
2010;23;Berg a.I.;599
2010;212;Bertschikon;1048
2010;242;Birmensdorf;5876
2010;3;Bonstetten;5164
2010;82;Boppelsen;1286
2010;213;Brütten;1927
2010;112;Bubikon;6573
2010;24;Buch a.I.;872
2010;83;Buchs;5522
2010;111;Bäretswil;4803
2010;53;Bülach;17478
2010;25;Dachsen;1941
2010;86;Dielsdorf;5646
2010;243;Dietikon;23578
2010;54;Dietlikon;7053
2010;216;Dinhard;1387
2010;26;Dorf;633
2010;214;Dägerlen;1005
2010;84;Dällikon;3605
2010;85;Dänikon;1903
2010;215;Dättlikon;746
2010;191;Dübendorf;24882
2010;113;Dürnten;6665
2010;192;Egg;7997
2010;55;Eglisau;4213
2010;217;Elgg;3922
2010;218;Ellikon a.d.Th.;889
2010;219;Elsau;3326
2010;56;Embrach;8856
2010;151;Erlenbach;5247
2010;172;Fehraltorf;5885
2010;27;Feuerthalen;3467
2010;114;Fischenthal;2288
2010;28;Flaach;1223
2010;29;Flurlingen;1430
2010;57;Freienstein-Teufen;2289
2010;193;Fällanden;7971
2010;244;Geroldswil;4652
2010;58;Glattfelden;4260
2010;115;Gossau;9539
2010;194;Greifensee;5094
2010;116;Grüningen;3165
2010;220;Hagenbuch;1097
2010;4;Hausen a.A.;3362
2010;5;Hedingen;3408
2010;31;Henggart;2214
2010;152;Herrliberg;6069
2010;221;Hettlingen;2957
2010;117;Hinwil;10364
2010;132;Hirzel;2106
2010;173;Hittnau;3467
2010;59;Hochfelden;1999
2010;222;Hofstetten;447
2010;153;Hombrechtikon;7994
2010;133;Horgen;18935
2010;32;Humlikon;456
2010;60;Höri;2457
2010;61;Hüntwangen;946
2010;134;Hütten;892
2010;87;Hüttikon;665
2010;174;Illnau-Effretikon;15597
2010;6;Kappel a.A.;918
2010;135;Kilchberg;7454
2010;33;Kleinandelfingen;2077
2010;62;Kloten;17995
2010;7;Knonau;1802
2010;175;Kyburg;419
2010;154;Küsnacht;13499
2010;136;Langnau a.A.;7250
2010;34;Laufen-Uhwiesen;1511
2010;176;Lindau;5007
2010;63;Lufingen;1756
2010;35;Marthalen;1935
2010;8;Maschwanden;612
2010;195;Maur;9517
2010;156;Meilen;12539
2010;9;Mettmenstetten;4245
2010;155;Männedorf;10437
2010;196;Mönchaltorf;3461
2010;88;Neerach;2969
2010;223;Neftenbach;5224
2010;89;Niederglatt;4570
2010;90;Niederhasli;8526
2010;91;Niederweningen;2729
2010;64;Nürensdorf;5170
2010;65;Oberembrach;966
2010;245;Oberengstringen;6381
2010;92;Oberglatt;5862
2010;137;Oberrieden;4936
2010;36;Oberstammheim;1080
2010;93;Oberweningen;1745
2010;10;Obfelden;4682
2010;157;Oetwil a.S.;4369
2010;246;Oetwil a.d.L.;2295
2010;66;Opfikon;15582
2010;37;Ossingen;1341
2010;94;Otelfingen;2449
2010;11;Ottenbach;2412
2010;224;Pfungen;2962
2010;177;Pfäffikon;10602
2010;67;Rafz;4025
2010;95;Regensberg;488
2010;96;Regensdorf;16518
2010;38;Rheinau;1300
2010;138;Richterswil;12336
2010;225;Rickenbach;2500
2010;12;Rifferswil;900
2010;68;Rorbas;2343
2010;178;Russikon;4096
2010;97;Rümlang;6698
2010;139;Rüschlikon;5227
2010;118;Rüti;11934
2010;226;Schlatt;734
2010;98;Schleinikon;717
2010;247;Schlieren;16103
2010;197;Schwerzenbach;4431
2010;99;Schöfflisdorf;1353
2010;140;Schönenberg;1917
2010;119;Seegräben;1296
2010;227;Seuzach;7050
2010;100;Stadel;1979
2010;13;Stallikon;3160
2010;101;Steinmaur;3169
2010;179;Sternenberg;362
2010;158;Stäfa;13923
2010;39;Thalheim a.d.Th.;818
2010;141;Thalwil;17189
2010;41;Truttikon;475
2010;40;Trüllikon;993
2010;228;Turbenthal;4199
2010;159;Uetikon a.S.;5728
2010;248;Uitikon;3887
2010;249;Unterengstringen;3367
2010;42;Unterstammheim;875
2010;250;Urdorf;8979
2010;198;Uster;32285
2010;43;Volken;310
2010;199;Volketswil;17412
2010;120;Wald;8961
2010;69;Wallisellen;13616
